id,amount,stripe_status,processing_decision,timestamp,recipient_account,reference,merchant_name,device_id,type,customer_id,confidence,latency,old_balance_org,new_balance_org,is_fraud
pi_02d1ece296054aaea0dd3a,58.31,succeeded,edge,2025-09-03 08:05:35,31201276659,INV-4811,card,edge-9,Transfer,admin.perlis@bankedge.com,0.91,16.82,148263.22,148204.91,0
pi_530df3ff9bb94f75b9046a,363.21,succeeded,edge,2025-11-20 14:53:06,307404042870,INV-6514,card,edge-14,Transfer,admin.kl@bankedge.com,0.981,24.37,1796.5,1433.29,0
pi_66c2c8ce37af42bd984f57,160.01,succeeded,edge,2025-06-26 03:22:27,325493543665,Ref-608eb653,card,edge-12,Transfer,admin.selangor@bankedge.com,0.973,29.22,107477.5,107317.49,0
pi_e8659b8ae8c448fc886a79,111.55,succeeded,edge,2025-09-29 14:03:03,500410093881,Ref-65e656ff,card,edge-3,Transfer,admin.kelantan@bankedge.com,0.929,7.75,16418.5,16306.95,0
pi_968d110cddc344f69eae7b,22.35,succeeded,edge,2025-06-29 19:14:41,759663022120,INV-6313,grabpay,edge-3,Transfer,admin.kelantan@bankedge.com,0.973,12.0,33098.8,33076.45,0
pi_2a3c48a0d00d4cf99acc17,22.35,succeeded,edge,2025-11-12 17:23:22,719172762479,INV-8517,card,edge-2,Transfer,admin.kedah@bankedge.com,0.907,17.45,182670.66,182648.31,0
pi_a8c0c55dd1784f68abd8e3,9.18,succeeded,edge,2025-11-10 18:55:38,101903882207,Ref-0102875b,card,edge-9,Transfer,admin.perlis@bankedge.com,0.958,29.92,72718.29,72709.11,0
pi_f93cb6f0d5a640ebb5aed6,243.35,succeeded,edge,2025-07-17 15:52:30,794195777447,INV-9797,fpx_rhb,edge-3,Transfer,admin.kelantan@bankedge.com,0.947,17.04,50657.12,50413.77,0
pi_374c9b4a8f094323bc68b5,112.29,succeeded,edge,2025-06-24 10:18:31,197546131054,INV-2743,grabpay,edge-4,Transfer,admin.malacca@bankedge.com,0.9,21.87,144557.37,144445.08,0
pi_64a53a36a23a4ed1b1f57c,149.75,succeeded,edge,2025-06-22 20:04:43,539263151675,INV-6947,fpx_ambank,edge-7,Transfer,admin.penang@bankedge.com,0.954,16.38,155835.98,155686.23,1
pi_2e9e8ec1736d425199f63b,4.5,failed,edge,2025-08-25 16:56:56,845101545574,INV-8787,fpx_cimb,edge-2,Transfer,admin.kedah@bankedge.com,0.039,24.66,146515.57,146511.07,0
pi_e6f52c2522504addbcfacf,422.43,succeeded,cloud,2025-09-13 19:08:29,716849444665,INV-9479,card,,Transfer,admin.kl@bankedge.com,0.976,144.03,138128.59,137706.16,0
pi_97999098448e479caedbe5,216.37,succeeded,edge,2025-11-26 17:00:00,993426927558,INV-6413,card,edge-11,Transfer,admin.sarawak@bankedge.com,0.959,21.53,1934.57,1718.2,0
